vendor,family,source,dof,link_count,fidelity_class,scale_class,mesh_bytes_total,aabb_x_m,aabb_y_m,aabb_z_m,joint_range_total_rad,joint_range_total_m,license,dedup_group_size,path
<generic>,racecar,bullet3,6,13,medium,tabletop,804514,0.39,0.2,0.125,8.283186,0.0,zlib (most files); see LICENSE.txt for exceptions,2,bullet3/data/racecar/racecar.urdf
<research>,adroit,Gymnasium-Robotics,30,31,low,tabletop,373524,0.29,0.7435,0.4474,41.04900000000001,0.8,"MIT (Farama Foundation, 2022)",1,Gymnasium-Robotics/gymnasium_robotics/envs/assets/adroit_hand/adroit_door.xml
<research>,adroit,Gymnasium-Robotics,30,30,low,tabletop,373524,0.234,0.7,0.25,50.52855800000001,0.0,"MIT (Farama Foundation, 2022)",1,Gymnasium-Robotics/gymnasium_robotics/envs/assets/adroit_hand/adroit_pen.xml
<research>,adroit,Gymnasium-Robotics,33,31,low,tabletop,373524,0.1335,0.7,0.25,51.77855800000001,0.09999999999999999,"MIT (Farama Foundation, 2022)",1,Gymnasium-Robotics/gymnasium_robotics/envs/assets/adroit_hand/adroit_hammer.xml
<research>,adroit,Gymnasium-Robotics,36,29,low,tabletop,373524,0.1175,0.7,0.25,55.02855800000001,1.5,"MIT (Farama Foundation, 2022)",1,Gymnasium-Robotics/gymnasium_robotics/envs/assets/adroit_hand/adroit_relocate.xml
<research>,flybody,mujoco_menagerie,102,68,high,tabletop,13082400,0.278,0.3282,0.1326,136.98808000000002,0.0,Apache-2.0 (Menagerie: flybody),2,mujoco_menagerie/flybody/fruitfly.xml
<research>,leap,mujoco_menagerie,16,18,medium,compact,4714308,0.1645,0.173,0.0298,39.33,0.0,Unknown (Menagerie: leap_hand),4,mujoco_menagerie/leap_hand/left_hand.xml
<research>,low_cost_robot_arm,mujoco_menagerie,6,8,medium,compact,2359416,0.1734,0.0209,0.1818,21.502000000000002,0.0,Apache-2.0 (Menagerie: low_cost_robot_arm),2,mujoco_menagerie/low_cost_robot_arm/low_cost_robot_arm.xml
<research>,microtaur,bullet3,12,26,high,tabletop,20951628,0.2815,0.558,0.059,0.0,0.0,zlib (most files); see LICENSE.txt for exceptions,1,bullet3/examples/pybullet/gym/pybullet_data/quadruped/microtaur/microtaur.urdf
<research>,robot_soccer_kit,mujoco_menagerie,64,66,medium,compact,2167608,0.1276,0.1105,0.057,395.840718,0.01,Unknown (Menagerie: robot_soccer_kit),2,mujoco_menagerie/robot_soccer_kit/robot_soccer_kit.xml
